iso3,gdp_per_capita,unemployment_rate,life_expectancy,literacy_rate,gini_index,cost_of_living_index,rent_index,groceries_index,restaurant_price_index,purchasing_power_index,safety_index,healthcare_index,traffic_index,pollution_index,visa_free_count,residency_difficulty,digital_nomad_visa,investor_visa,eu_member,schengen,ru_visa_free,ru_banking_access,ru_sanctions_risk,country
ECU,0.042360280341147555,0.09850903567775333,0.7661922273399233,0.7885205619634874,1.0,0.13071895424836602,0.11961057023643953,0.17049180327868851,0.12187500000000001,0.23826500297088535,0.2786144578313252,0.8008474576271187,0.3874709976798144,0.6268260292164674,0.2898550724637682,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,Ecuador
EGY,0.01649125218539308,0.20616223923622953,0.5734085920351217,0.9402118141200901,0.965217391304348,0.029411764705882387,0.019471488178025048,0.04371584699453551,0.05000000000000002,0.08021390374331552,0.5120481927710843,0.1694915254237288,0.6241299303944317,0.9389110225763613,0.7753623188405798,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.5,0.0,"Egypt, Arab Rep."
ESP,0.250499113502475,0.3175970986640216,0.9768685375458681,0.8332763365973519,0.965217391304348,0.35620915032679745,0.3699582753824757,0.3540983606557377,0.41458333333333336,0.5710041592394535,0.644578313253012,0.7902542372881358,0.13457076566125292,0.3120849933598937,0.9782608695652175,0.6666666666666667,1.0,1.0,1.0,1.0,0.0,0.25,1.0,Spain
EST,0.2219805749808988,0.253649917857475,0.8235004255700409,0.8332763365973519,0.965217391304348,0.4444444444444444,0.3908205841446455,0.3923497267759563,0.5166666666666666,0.4753416518122401,0.8614457831325298,0.7478813559322035,0.004640371229698348,0.05710491367861886,0.963768115942029,0.3333333333333333,1.0,0.0,1.0,1.0,0.0,0.0,1.0,Estonia
FIN,0.38088186459161955,0.2892346796441524,0.9250670934584415,0.8332763365973519,0.965217391304348,0.545751633986928,0.4951321279554939,0.5519125683060109,0.6124999999999998,0.7195484254307785,0.811746987951807,0.798728813559322,0.09976798143851517,0.0,0.9855072463768115,0.6666666666666667,0.0,0.0,1.0,1.0,0.0,0.25,1.0,Finland
FRA,0.3293324067533187,0.22975109265056884,0.9465695796834115,0.8332763365973519,0.965217391304348,0.5315904139433552,0.4881780250347706,0.6010928961748634,0.5302083333333334,0.6547831253713607,0.3704819277108433,0.7860169491525424,0.3178654292343388,0.4209827357237716,0.9855072463768115,0.6666666666666667,0.0,0.0,1.0,1.0,0.0,0.25,1.0,France
GBR,0.38158853739906085,0.1430829794488702,0.8933517407647245,0.8332763365973519,0.965217391304348,0.5326797385620915,0.549374130737135,0.487431693989071,0.6000000000000001,0.679144385026738,0.48343373493975894,0.6949152542372883,0.3132250580046405,0.3811420982735723,0.9782608695652175,0.6666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,United Kingdom
GEO,0.05967431399650009,0.370943244164781,0.6686149222367483,1.0,0.965217391304348,0.15468409586056645,0.1613351877607789,0.15409836065573768,0.21770833333333334,0.20617944147355913,0.8162650602409637,0.34745762711864403,0.3781902552204177,0.7436918990703851,0.4565217391304348,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Georgia
GRC,0.17221956590073206,0.2606862775487431,0.9084515359209637,0.8332763365973519,0.965217391304348,0.38235294117647056,0.3282336578581364,0.3584699453551912,0.4572916666666667,0.3315508021390374,0.5150602409638553,0.40254237288135597,0.26914153132250584,0.4966799468791501,0.963768115942029,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.25,1.0,Greece
HRV,0.16800801628844228,0.1510182573385822,0.8112831038513078,0.8332763365973519,0.965217391304348,0.3649237472766884,0.3435326842837275,0.33551912568306014,0.4166666666666666,0.46464646464646464,0.8448795180722891,0.5338983050847457,0.09976798143851517,0.2656042496679947,0.9492753623188406,0.3333333333333333,1.0,0.0,1.0,1.0,0.0,0.25,1.0,Croatia
